;*******************公共;*******************
85000 0 0 "\\S_001.png"  ;汉江界面图标
85725 0 0 "\\panel_23_1_chs.png"  ;
85726 0 0 "\\panel_23_2_chs.png"  ;
85727 0 0 "\\panel_23_3_chs.png"  ;
85728 0 0 "\\panel_23_4_chs.png"  ;
85729 0 0 "\\panel_23_5_chs.png"  ;
85730 0 0 "外圆长度"  ;
85731 0 0 "保持分段"  ;
85732 0 0 "台阶长度"  ;
85733 0 0 "\\panel_33_0_chs.png"  ;
85734 0 0 "\\panel_25_0_chs.png"  ;
85735 0 0 "最大分度误差"  ;
85736 0 0 "最大齿向误差"  ;
85737 0 0 "最大直线误差"  ;
85738 0 0 "分度测量"  ;
85739 0 0 "直线度"  ;
85740 0 0 "头架-砂轮-B轴0度:"  ;
85741 0 0 "砂轮一-基准.X"  ;
85742 0 0 "砂轮一-基准.Y"  ;
85743 0 0 "砂轮一-基准.Z"  ;
85744 0 0 "砂轮二-基准.X"  ;
85745 0 0 "砂轮二-基准.Y"  ;
85746 0 0 "砂轮二-基准.Z"  ;
85747 0 0 "头架-砂轮-B轴90度:"  ;
85748 0 0 "砂轮一-基准.X"  ;
85749 0 0 "砂轮一-基准.Y"  ;
85750 0 0 "砂轮一-基准.Z"  ;
85751 0 0 "头架-砂轮-B轴-90度:"  ;
85752 0 0 "砂轮二-基准.X"  ;
85753 0 0 "砂轮二-基准.Y"  ;
85754 0 0 "砂轮二-基准.Z"  ;
85755 0 0 "-------------------------------------------"  ;
85756 0 0 ""  ;
85757 0 0 ""  ;
85758 0 0 "砂轮基准偏移.X"  ;
85759 0 0 "需加工槽数"  ;
85760 0 0 "已加工槽数"  ;
85761 0 0 "测头-砂轮一-基准距:"  ;
85762 0 0 "径向距离"  ;
85763 0 0 "轴向距离"  ;
85764 0 0 "垂直距离"  ;
85765 0 0 "测头-砂轮二-基准距:"  ;
85766 0 0 "基准数据"  ;
85767 0 0 "基准校准"  ;
85768 0 0 "校准数据-砂轮1-基准磨杆:"  ;
85769 0 0 "磨杆长度"  ;
85770 0 0 "磨杆直径"  ;
85771 0 0 "B0_A0_向前接触.X"  ;
85772 0 0 "B0_A0_向左接触.Z"  ;
85773 0 0 "B0_A0_向下接触.Y"  ;
85774 0 0 "B0_A90_向左接触.Z"  ;
85775 0 0 "B0_A90_向下接触.Y"  ;
85776 0 0 "校准数据-砂轮1-基准磨杆2:"  ;
85777 0 0 "磨杆长0-基准长度"  ;
85778 0 0 "磨杆距回转中心偏移"  ;
85779 0 0 "校准数据-砂轮2-基准磨杆:"  ;
85780 0 0 "校准数据-砂轮2-基准磨杆2:"  ;
85781 0 0 "校准数据-测头-A轴测量角(大于零且角度2需大于角度1):"  ;
85782 0 0 "角度1"  ;
85783 0 0 "角度2"  ;
85784 0 0 "校准数据-测头1:"  ;
85785 0 0 "测头总长"  ;
85786 0 0 "测头半径"  ;
85787 0 0 "B0_A角度1_向前接触.X"  ;
85788 0 0 "B0_A角度1_向右接触.Z"  ;
85789 0 0 "B0_A角度1_向下接触.Y"  ;
85790 0 0 "B0_A角度2_向右接触.Z"  ;
85791 0 0 "B0_A角度2_向下接触.Y"  ;
85792 0 0 "B0_A角度1_测头部分缩回-向右接触.Z"  ;
85793 0 0 "B0_A角度1_测头部分缩回-向下接触.Y"  ;
85794 0 0 "校准数据-测头2:"  ;
85795 0 0 "A0-测杆垂直夹角"  ;
85796 0 0 "测杆长0-基准长度"  ;
85797 0 0 "测杆距回转中心偏移"  ;
85798 0 0 ""  ;
85799 0 0 ""  ;

85800 0 0 "B180_A0_向左接触.Z"  ;"  ;
85801 0 0 "B180_A0_向下接触.Y"  ;"  ;
85802 0 0 "B180_A90_向左接触.Z"  ;"  ;
85803 0 0 "B180_A90_向下接触.Y"  ;"  ;
85804 0 0 ""  ;
85805 0 0 ""  ;
85806 0 0 ""  ;
85807 0 0 ""  ;
85808 0 0 ""  ;
85809 0 0 ""  ;
85810 0 0 ""  ;
85811 0 0 ""  ;
85812 0 0 ""  ;
85813 0 0 ""  ;
85814 0 0 ""  ;
85815 0 0 ""  ;
85816 0 0 ""  ;
85817 0 0 ""  ;
85818 0 0 ""  ;
85819 0 0 ""  ;
85820 0 0 ""  ;
85821 0 0 ""  ;
85822 0 0 ""  ;
85823 0 0 ""  ;
85824 0 0 ""  ;
85825 0 0 ""  ;
85826 0 0 ""  ;
85827 0 0 ""  ;
85828 0 0 ""  ;
85829 0 0 ""  ;
85830 0 0 ""  ;
85831 0 0 ""  ;
85832 0 0 ""  ;
85833 0 0 ""  ;
85834 0 0 ""  ;
85835 0 0 ""  ;
85836 0 0 ""  ;
85837 0 0 ""  ;
85838 0 0 ""  ;
85839 0 0 ""  ;
85840 0 0 ""  ;
85841 0 0 ""  ;
85842 0 0 ""  ;
85843 0 0 ""  ;
85844 0 0 ""  ;
85845 0 0 ""  ;
85846 0 0 ""  ;
85847 0 0 ""  ;
85848 0 0 ""  ;
85849 0 0 ""  ;
85850 0 0 ""  ;
85851 0 0 ""  ;
85852 0 0 ""  ;
85853 0 0 ""  ;
85854 0 0 ""  ;
85855 0 0 ""  ;
85856 0 0 ""  ;
85857 0 0 ""  ;
85858 0 0 ""  ;
85859 0 0 ""  ;
85860 0 0 ""  ;
85861 0 0 ""  ;
85862 0 0 ""  ;
85863 0 0 ""  ;
85864 0 0 ""  ;
85865 0 0 ""  ;
85866 0 0 ""  ;
85867 0 0 ""  ;
85868 0 0 ""  ;
85869 0 0 ""  ;
85870 0 0 ""  ;
85871 0 0 ""  ;
85872 0 0 ""  ;
85873 0 0 ""  ;
85874 0 0 ""  ;
85875 0 0 ""  ;
85876 0 0 ""  ;
85877 0 0 ""  ;
85878 0 0 ""  ;
85879 0 0 ""  ;
85880 0 0 ""  ;
85881 0 0 ""  ;
85882 0 0 ""  ;
85883 0 0 ""  ;
85884 0 0 ""  ;
85885 0 0 ""  ;
85886 0 0 ""  ;
85887 0 0 ""  ;
85888 0 0 ""  ;
85889 0 0 ""  ;
85890 0 0 ""  ;
85891 0 0 ""  ;
85892 0 0 ""  ;
85893 0 0 ""  ;
85894 0 0 ""  ;
85895 0 0 ""  ;
85896 0 0 ""  ;
85897 0 0 ""  ;
85898 0 0 ""  ;
85899 0 0 ""  ;
;*********环形槽参数**********
85900 0 0 "螺纹"  ;
85901 0 0 "环形槽"  ;
85902 0 0 "磨削类型"  ;
85903 0 0 "总齿数"  ;
85904 0 0 "起始磨削齿"  ;
85905 0 0 "终止磨削齿"  ;
85906 0 0 "需加工齿数"  ;
85907 0 0 "已加工齿数"  ;
85908 0 0 "当前齿起始.Y"  ;
85909 0 0 "当前齿起始.Z"  ;
85910 0 0 "螺距"  ;
85911 0 0 "槽数"  ;
85912 0 0 "水平偏移"  ;
85913 0 0 "垂直偏移"  ;
85914 0 0 "轴向偏移角.Y"  ;
85915 0 0 "第一组"  ;
85916 0 0 "第二组"  ;
85917 0 0 "第三组"  ;
85918 0 0 "第四组"  ;
85919 0 0 "当前齿当前.Y"  ;
85920 0 0 "首齿起始.Z"  ;
85921 0 0 "首齿起始.Y"  ;
85922 0 0 "磨削起点.X"  ;
85923 0 0 "磨削终点.X"  ;
85924 0 0 "磨削位.A"  ;
85925 0 0 "磨削位.B"  ;
85926 0 0 "当前齿当前.Z"  ;
85927 0 0 "当前A轴磨削位"  ;
85928 0 0 "当前B轴磨削位"  ;
85929 0 0 "第五组"  ;
85930 0 0 "第六组"  ;
85931 0 0 "第七组"  ;
85932 0 0 "第八组"  ;
85933 0 0 "第九组"  ;
85934 0 0 "第十组"  ;
85935 0 0 "磨削起始.Y"  ;
85936 0 0 "磨削当前.Y"  ;
85937 0 0 "首齿当前.Z"  ;
85938 0 0 "首齿当前.Y"  ;
85939 0 0 "新砂轮坐标校准"  ;
85940 0 0 "标记首齿初始.Z"  ;
85941 0 0 "标记首齿初始.Y"  ;
85942 0 0 "磨削当前.Z"  ;
85943 0 0 "标记通磨起点.Z"  ;
85944 0 0 "标记磨削起点.Y"  ;
85945 0 0 "斜进刀角度"  ;
85946 0 0 "轴向补偿角.X"  ;
85947 0 0 "起点补偿.Z"  ;
85948 0 0 "终点补偿.Z"  ;
85949 0 0 "轴向补偿.X"  ;
85950 0 0 "齿前补偿.Z"  ;
85951 0 0 "齿后补偿.Z"  ;
85952 0 0 "磨削位置"  ;
85953 0 0 "首齿平面"  ;
85954 0 0 "尾齿平面"  ;
85955 0 0 "模式选择"  ;
85956 0 0 "加工"  ;
85957 0 0 "备份"  ;
85958 0 0 "恢复"  ;
85959 0 0 "备份路径"  ;
85960 0 0 "备份目录"  ;
85961 0 0 "文件名称"  ;
85962 0 0 "恢复路径"  ;
85963 0 0 "恢复目录"  ;
85964 0 0 "磨削起点.Z"  ;
85965 0 0 "磨削终点.Z"  ;
85966 0 0 "平移步距.X"  ;
85967 0 0 "锥度.Y"  ;
85968 0 0 "磨削起点.X"  ;
85969 0 0 "磨削终点.X"  ;
85970 0 0 "轴向补偿角.Z"  ;
85971 0 0 "全长齿升量"  ;
85972 0 0 "标记砂轮直径"  ;
85973 0 0 "标记砂轮厚度"  ;
85974 0 0 "CNC插补"  ;
85975 0 0 "齿形目录"  ;
85976 0 0 "齿形名称"  ;
85977 0 0 "砂轮圆弧半径"  ;
85978 0 0 "磨削步距.X"  ;
85979 0 0 "齿形路径"  ;
85980 0 0 "磨削模式"  ;
85981 0 0 "顶尖圆弧.YZ"  ;
85982 0 0 "砂轮半径.YX"  ;
85983 0 0 "半径补偿"  ;
85984 0 0 "起始角.C"  ;
85985 0 0 "磨削位.X"  ;
85986 0 0 "通磨磨槽/铲背:"  ;
85987 0 0 "升角补偿.A"  ;
85988 0 0 "圆拉刀外径"  ;
85989 0 0 "磨削安全位.Y"  ;
85990 0 0 "补偿角.A"  ;
85991 0 0 "起始角调整.C"  ;
85992 0 0 "偶数齿补偿角.C"  ;
85993 0 0 "工件安装角.C"  ;
85994 0 0 "升角补偿.B"  ;
85995 0 0 "轴向补偿系数.X"  ;
85996 0 0 "全长齿距"  ;
85997 0 0 "尾齿标准补偿.Z"  ;
85998 0 0 "尾齿测量补偿.Z"  ;
85999 0 0 "齿宽补偿"  ;
;*******************丝锥参数*******************
86000 0 0 "螺旋铲磨"  ;
86001 0 0 "槽数"  ;
86002 0 0 "直槽"  ;
86003 0 0 "螺旋槽"  ;
86004 0 0 "螺旋槽旋向"  ;
86005 0 0 "右旋"  ;
86006 0 0 "左旋"  ;
86007 0 0 "螺旋槽升角"  ;
86008 0 0 "B轴起始角"  ;
86009 0 0 "跳齿"  ;
86010 0 0 "跳齿C轴调整"  ;
86011 0 0 "跳齿角度调整"  ;
86012 0 0 "槽类型"  ;
86013 0 0 "铲磨比例系数"  ;
86014 0 0 "铲背量"  ;
86015 0 0 "起点.Z/Y"  ;
86016 0 0 "起点到砂轮尖.Z"  ;
86017 0 0 "起点到砂轮尖.Y"  ;
86018 0 0 "齿深偏移高度"  ;
86019 0 0 ""  ;
86020 0 0 ""  ;
86021 0 0 ""  ;
86022 0 0 ""  ;
86023 0 0 ""  ;
86024 0 0 ""  ;
86025 0 0 ""  ;
86026 0 0 ""  ;
86027 0 0 ""  ;
86028 0 0 ""  ;
86029 0 0 ""  ;
86030 0 0 ""  ;
86031 0 0 ""  ;
86032 0 0 ""  ;
86033 0 0 ""  ;
86034 0 0 ""  ;
86035 0 0 ""  ;
86036 0 0 ""  ;
86037 0 0 ""  ;
86038 0 0 ""  ;
86039 0 0 ""  ;
86040 0 0 ""  ;
86041 0 0 ""  ;
86042 0 0 ""  ;
86043 0 0 ""  ;
86044 0 0 ""  ;
86045 0 0 ""  ;
86046 0 0 ""  ;
86047 0 0 ""  ;
86048 0 0 ""  ;
86049 0 0 ""  ;
86050 0 0 ""  ;
86051 0 0 ""  ;
86052 0 0 ""  ;
86053 0 0 ""  ;
86054 0 0 ""  ;
86055 0 0 ""  ;
86056 0 0 ""  ;
86057 0 0 ""  ;
86058 0 0 ""  ;
86059 0 0 ""  ;
86060 0 0 ""  ;
86061 0 0 ""  ;
86062 0 0 ""  ;
86063 0 0 ""  ;
86064 0 0 ""  ;
86065 0 0 ""  ;
86066 0 0 ""  ;
86067 0 0 ""  ;
86068 0 0 ""  ;
86069 0 0 ""  ;
86070 0 0 ""  ;
86071 0 0 ""  ;
86072 0 0 ""  ;
86073 0 0 ""  ;
86074 0 0 ""  ;
86075 0 0 ""  ;
86076 0 0 ""  ;
86077 0 0 ""  ;
86078 0 0 ""  ;
86079 0 0 ""  ;
86080 0 0 ""  ;
86081 0 0 ""  ;
86082 0 0 ""  ;
86083 0 0 ""  ;
86084 0 0 ""  ;
86085 0 0 ""  ;
86086 0 0 ""  ;
86087 0 0 ""  ;
86088 0 0 ""  ;
86089 0 0 ""  ;
86090 0 0 ""  ;
86091 0 0 ""  ;
86092 0 0 ""  ;
86093 0 0 ""  ;
86094 0 0 ""  ;
86095 0 0 ""  ;
86096 0 0 ""  ;
86097 0 0 ""  ;
86098 0 0 ""  ;
86099 0 0 ""  ;
;*******************备份恢复参数*******************
87100 0 0 "加工"  ;
87101 0 0 "备份"  ;
87102 0 0 "恢复"  ;
87103 0 0 "备份路径"  ;
87104 0 0 "备份目录"  ;
87105 0 0 "文件名称"  ;
87106 0 0 "备份模式"  ;
87107 0 0 "列表目录"  ;
87108 0 0 "列表名称"  ;
87109 0 0 "列表行数"  ;
87110 0 0 "恢复路径"  ;
87111 0 0 "恢复目录"  ;
87112 0 0 "文件名称"  ;
87113 0 0 "模式选择"  ;
87114 0 0 ""  ;
87115 0 0 "内部SPF"  ;
87116 0 0 "后USB"  ;
87117 0 0 "前USB"  ;
87118 0 0 "CF卡"  ;
87119 0 0 "所有变量"  ;
87120 0 0 "自定义变量"  ;
87121 0 0 ""  ;
87122 0 0 ""  ;
87123 0 0 ""  ;
87124 0 0 ""  ;
87125 0 0 ""  ;
87126 0 0 ""  ;
87127 0 0 ""  ;
87128 0 0 ""  ;
87129 0 0 ""  ;
87130 0 0 ""  ;
87131 0 0 ""  ;
87132 0 0 ""  ;
87133 0 0 ""  ;
87134 0 0 ""  ;
87135 0 0 ""  ;
87136 0 0 ""  ;
87137 0 0 ""  ;
87138 0 0 ""  ;
87139 0 0 ""  ;
87140 0 0 ""  ;
87141 0 0 ""  ;
87142 0 0 ""  ;
87143 0 0 ""  ;
87144 0 0 ""  ;
87145 0 0 ""  ;
87146 0 0 ""  ;
87147 0 0 ""  ;
87148 0 0 ""  ;
87149 0 0 ""  ;
87150 0 0 ""  ;
87151 0 0 ""  ;
87152 0 0 ""  ;
87153 0 0 ""  ;
87154 0 0 ""  ;
87155 0 0 ""  ;
87156 0 0 ""  ;
87157 0 0 ""  ;
87158 0 0 ""  ;
87159 0 0 ""  ;
87160 0 0 ""  ;
87161 0 0 ""  ;
87162 0 0 ""  ;
87163 0 0 ""  ;
87164 0 0 ""  ;
87165 0 0 ""  ;
87166 0 0 ""  ;
87167 0 0 ""  ;
87168 0 0 ""  ;
87169 0 0 ""  ;
87170 0 0 ""  ;
87171 0 0 ""  ;
87172 0 0 ""  ;
87173 0 0 ""  ;
87174 0 0 ""  ;
87175 0 0 ""  ;
87176 0 0 ""  ;
87177 0 0 ""  ;
87178 0 0 ""  ;
87179 0 0 ""  ;
87180 0 0 ""  ;
87181 0 0 ""  ;
87182 0 0 ""  ;
87183 0 0 ""  ;
87184 0 0 ""  ;
87185 0 0 ""  ;
87186 0 0 ""  ;
87187 0 0 ""  ;
87188 0 0 ""  ;
87189 0 0 ""  ;
87190 0 0 ""  ;
87191 0 0 ""  ;
87192 0 0 ""  ;
87193 0 0 ""  ;
87194 0 0 ""  ;
87195 0 0 ""  ;
87196 0 0 ""  ;
87197 0 0 ""  ;
87198 0 0 ""  ;
87199 0 0 ""  ;

89899 0 0 ""  ;
